id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen,downloads,release_count
237089784,premade-applicants-filter,0xbs/premade-applicants-filter,https://github.com/0xbs/premade-applicants-filter,Allows filtering of premade applicants using advanced filter expressions.,2026-01-21T18:03:37Z,mainline,,,,True,2026-04-05T23:28:23Z,35069,35
90017760,premade-groups-filter,0xbs/premade-groups-filter,https://github.com/0xbs/premade-groups-filter,A World of Warcraft addon for powerful filtering of premade group listings.,2026-04-03T21:07:40Z,"mainline,mists",,,,True,2026-04-05T23:28:23Z,555252,146
202983835,premade-regions,0xbs/premade-regions,https://github.com/0xbs/premade-regions,Provides region information in the premade groups and applicants listings as well as to other addons.,2026-01-22T19:07:41Z,mainline,,,,True,2026-04-05T23:28:23Z,41735,27
144499157,what-did-i-dispel-2,0xbs/what-did-i-dispel-2,https://github.com/0xbs/what-did-i-dispel-2,A World of Warcraft addon that tracks buffs/debuffs you dispel and displays them upon request,2025-12-29T20:00:38Z,mainline,,,,True,2026-04-05T23:28:23Z,1094,3
734090918,PlayerBlacklist,123456687548/PlayerBlacklist,https://github.com/123456687548/PlayerBlacklist,,2024-01-03T17:08:47Z,mainline,957632,,26670,True,2026-04-05T23:28:23Z,401,1
692788219,KeyUI,1onar/KeyUI,https://github.com/1onar/KeyUI,"World of Warcraft addon that visualizes and manages keyboard, mouse and controller key configurations.",2026-02-19T20:45:28Z,"mainline,vanilla,tbc,mists",913973,b6XV0OGp,26644,True,2026-04-05T23:28:23Z,18379,159
78367104,Decursive,2072/Decursive,https://github.com/2072/Decursive,Decursive: https://www.wowace.com/projects/decursive,2026-03-22T21:09:01Z,mainline,2154,,,True,2026-04-05T23:28:23Z,835834,62
195662692,H-H-T-D,2072/H-H-T-D,https://github.com/2072/H-H-T-D,,2026-01-24T22:34:40Z,"mainline,tbc",19474,,,True,2026-04-05T23:28:23Z,120842,30
42425420,LibNameplateRegistry-1.0,2072/LibNameplateRegistry-1.0,https://github.com/2072/LibNameplateRegistry-1.0,An embeddable library providing an abstraction layer for tracking and querying World of Warcraft' Nameplate frames,2025-12-31T01:43:51Z,"mainline,vanilla,mists",62519,,,True,2026-04-05T23:28:23Z,1441,29
195663014,sheepdog,2072/sheepdog,https://github.com/2072/sheepdog,,2026-01-24T22:37:04Z,tbc,28580,,,True,2026-04-05T23:28:23Z,1414,26
152668995,NoteworthyII,28/NoteworthyII,https://github.com/28/NoteworthyII,Fully featured and configurable notepad utility for WoW,2023-11-11T12:29:24Z,"mainline,vanilla,wrath",400633,,,False,2026-04-05T23:28:23Z,861,34
270124280,Buvvs,2CDeez/Buvvs,https://github.com/2CDeez/Buvvs,Buff Frame Customizer,2020-06-08T21:34:16Z,,,,,False,2026-04-05T23:28:23Z,61,1
288334963,LootRollLedger,4bitfocus/LootRollLedger,https://github.com/4bitfocus/LootRollLedger,Simple loot roll monitor and tracker for World of Warcraft,2022-05-25T00:03:11Z,mainline,402978,,25732,True,2026-04-05T23:28:23Z,696,8
120390732,AllTheThings,ATTWoWAddon/AllTheThings,https://github.com/ATTWoWAddon/AllTheThings,ALL THE THINGS - Addon for Tracking Collections & Account Completion in World of Warcraft,2026-04-05T19:51:31Z,"titan,mainline,vanilla,tbc,wrath,cata,mists",267285,yQKyY5K7,,True,2026-04-05T23:28:23Z,683098,388
564714594,ElvUI_ProfileConverter,AcidWeb/ElvUI_ProfileConverter,https://github.com/AcidWeb/ElvUI_ProfileConverter,A small tool that allows converting old profile exports to the new format.,2025-08-21T06:55:30Z,"mainline,vanilla,mists",,,,True,2026-04-05T23:28:23Z,21080,20
144394027,HandyNotes_MoleMachine,AcidWeb/HandyNotes_MoleMachine,https://github.com/AcidWeb/HandyNotes_MoleMachine,Display locations of Dark Iron Dwarf mole machines.,2026-02-11T06:40:10Z,mainline,,baNDD4No,24766,True,2026-04-05T23:28:23Z,91020,36
